辩护人,2013,9.2,552561
狮子王,1994,9.1,774999
搏击俱乐部,1999,9.0,790146
饮食男女,1994,9.2,568828
美丽心灵,2001,9.1,715666
本杰明·巴顿奇事,2008,9.0,917747
窃听风暴,2006,9.2,524970
穿条纹睡衣的男孩,2008,9.2,511858
情书,1995,8.9,1009821
两杆大烟枪,1998,9.1,557668
西西里的美丽传说,2000,8.9,908710
看不见的客人,2016,8.8,1160787
音乐之声,1965,9.1,558037
拯救大兵瑞恩,1998,9.1,602455
飞越疯人院,1975,9.1,516546
小鞋子,1997,9.2,379436
阿凡达,2009,8.8,1289179
哈利·波特与死亡圣器(下),2011,8.9,759065
沉默的羔羊,1991,8.9,816929
致命魔术,2006,8.9,798646
禁闭岛,2010,8.9,898299
海豚湾,2009,9.3,340751
布达佩斯大饭店,2014,8.9,852835
蝴蝶效应,2004,8.9,870538
美国往事,1984,9.2,384383
心灵捕手,1997,8.9,658221
低俗小说,1994,8.9,773325
春光乍泄,1997,9.0,585355
摩登时代,1936,9.3,276205
喜剧之王,1999,8.8,896912
七宗罪,1995,8.8,887348
功夫,2004,8.8,1011488
致命ID,2003,8.8,756668
哈利·波特与阿兹卡班的囚徒,2004,8.9,649318
超脱,2011,9.0,520900
杀人回忆,2003,8.9,649551
加勒比海盗,2003,8.8,801329
红辣椒,2006,9.1,417063
被嫌弃的松子的一生,2006,8.9,663584
狩猎,2012,9.1,356813
请以你的名字呼唤我,2017,8.9,663667
7号房的礼物,2013,8.9,513756
剪刀手爱德华,1990,8.7,982395
断背山,2005,8.8,666196
勇敢的心,1995,8.9,532815
唐伯虎点秋香,1993,8.7,993625
哈利·波特与密室,2002,8.8,675458
一一,2000,9.1,349011
入殓师,2008,8.9,618947
第六感,1999,8.9,516349
爱在黎明破晓前,1995,8.8,617714
重庆森林,1994,8.8,748472
天使爱美丽,2001,8.7,916732
蝙蝠侠：黑暗骑士崛起,2012,8.8,670802
幽灵公主,1997,8.9,488984
菊次郎的夏天,1999,8.9,550700
小森林 夏秋篇,2014,9.0,396791
阳光灿烂的日子,1994,8.9,573084
超能陆战队,2014,8.7,939431
完美的世界,1993,9.1,287704
爱在日落黄昏时,2004,8.9,508835
无人知晓,2004,9.1,292334
消失的爱人,2014,8.7,861792
借东西的小人阿莉埃蒂,2010,8.9,510667
甜蜜蜜,1996,8.9,490129
倩女幽魂,1987,8.8,682102
小森林 冬春篇,2015,9.0,354027
侧耳倾听,1995,8.9,428594
时空恋旅人,2013,8.8,603807
幸福终点站,2004,8.8,523470
驯龙高手,2010,8.8,704580
萤火之森,2011,8.9,491500
教父3,1990,9.0,341230
怪兽电力公司,2001,8.8,617183
玛丽和马克思,2009,8.9,402002
一个叫欧维的男人决定去死,2015,8.9,424921
寄生虫,2019,8.8,1274963
玩具总动员3,2010,8.9,474534
傲慢与偏见,2005,8.7,733927
大鱼,2003,8.8,533276
未麻的部屋,1997,9.1,295013
神偷奶爸,2010,8.6,886874
告白,2010,8.8,634187
釜山行,2016,8.6,1109315
被解救的姜戈,2012,8.8,564710
阳光姐妹淘,2011,8.8,562829
射雕英雄传之东成西就,1993,8.7,591582
哈利·波特与火焰杯,2005,8.7,588361
哪吒闹海,1979,9.1,237710
我是山姆,2001,9.0,312507
恐怖直播,2013,8.7,606194
新世界,2013,8.9,373515
头号玩家,2018,8.7,1273928
血战钢锯岭,2016,8.7,736589
模仿游戏,2014,8.8,597030
喜宴,1993,9.0,327014
七武士,1954,9.3,181513
花样年华,2000,8.7,552321
黑客帝国3：矩阵革命,2003,8.8,417838
头脑特工队,2015,8.8,562166
电锯惊魂,2004,8.7,490187
九品芝麻官,1994,8.7,607838
三块广告牌,2017,8.7,768652
达拉斯买家俱乐部,2013,8.8,423164
你的名字。,2016,8.5,1290347
卢旺达饭店,2004,8.9,303684
疯狂原始人,2013,8.7,787272
惊魂记,1960,9.0,259253
上帝之城,2002,9.0,283076
谍影重重3,2007,8.8,391500
心迷宫,2014,8.7,476871
风之谷,1984,8.9,335045
英雄本色,1986,8.6,494477
纵横四海,1991,8.8,390220
海街日记,2015,8.8,411388
岁月神偷,2010,8.7,547616
记忆碎片,2000,8.7,564374
色，戒,2007,8.6,703807
忠犬八公物语,1987,9.2,179277
爱在午夜降临前,2013,8.9,359923
绿里奇迹,1999,8.9,297663
荒蛮故事,2014,8.8,410557
茶馆,1982(中国大陆),9.5,112125
爆裂鼓手,2014,8.7,539096
小偷家族,2018,8.7,766222
贫民窟的百万富翁,2008,8.6,703213
无敌破坏王,2012,8.7,497685
疯狂的石头,2006,8.5,757966
东邪西毒,1994,8.6,540516
真爱至上,2003,8.6,680978
冰川时代,2002,8.6,572828
雨中曲,1952,9.1,201920
恐怖游轮,2009,8.5,782746
你看起来好像很好吃,2010,8.9,311402
黑天鹅,2010,8.6,743427
2001太空漫游,1968,8.9,289921
魔女宅急便,1989,8.7,425117
无间道2,2003,8.7,427321
雨人,1988,8.7,378815
遗愿清单,2007,8.7,409884
恋恋笔记本,2004,8.6,622618
牯岭街少年杀人事件,1991,8.9,265212
大佛普拉斯,2017,8.7,410312
可可西里,2004,8.9,280285
城市之光,1931,9.3,132408
背靠背，脸对脸,1994,9.5,109442
小丑,2019,8.7,934722
东京教父,2003,9.0,196116
萤火虫之墓,1988,8.7,385001
源代码,2011,8.5,782373
虎口脱险,1966,8.9,234857
初恋这件小事,2010,8.5,931317
人工智能,2001,8.7,412729
海边的曼彻斯特,2016,8.6,471884
罗生门,1950,8.8,290467
青蛇,1993,8.6,485884
终结者2：审判日,1991,8.8,317851
波西米亚狂想曲,2018,8.6,556173
奇迹男孩,2017,8.6,521090
心灵奇旅,2020,8.7,886340
二十二,2015,8.7,277175
疯狂的麦克斯4：狂暴之路,2015,8.6,488799
新龙门客栈,1992,8.7,410925
房间,2015,8.8,350941
无耻混蛋,2009,8.6,440099
千钧一发,1997,8.8,266975
血钻,2006,8.7,351941
步履不停,2008,8.8,257808
黑客帝国2：重装上阵,2003,8.7,378471
魂断蓝桥,1940,8.8,258119
彗星来的那一夜,2013,8.5,521027
崖上的波妞,2008,8.6,447208
战争之王,2005,8.7,338602
爱乐之城,2016,8.4,813063
谍影重重2,2004,8.7,328510
燃情岁月,1994,8.8,268911
末路狂花,1991,8.9,219839
